NTA2020,n_tracts,n_incidents,gini_tracts,crime_type
BK1001,28,101,0.435997171145686,Robbery (outdoor)
BK1002,17,65,0.4796380090497738,Robbery (outdoor)
BK1101,28,178,0.4193418940609952,Robbery (outdoor)
BK1102,11,43,0.321353065539112,Robbery (outdoor)
BK1103,16,102,0.2806372549019608,Robbery (outdoor)
BK1201,10,91,0.2824175824175824,Robbery (outdoor)
BK1202,21,95,0.4370927318295739,Robbery (outdoor)
BK1203,10,52,0.3192307692307692,Robbery (outdoor)
BK1204,16,35,0.5410714285714285,Robbery (outdoor)
BK1301,7,73,0.273972602739726,Robbery (outdoor)
BK1302,12,223,0.5033632286995515,Robbery (outdoor)
BK1303,8,86,0.3430232558139535,Robbery (outdoor)
BK1401,18,206,0.27939590075512405,Robbery (outdoor)
BK1402,11,72,0.18686868686868688,Robbery (outdoor)
BK1403,16,67,0.40578358208955223,Robbery (outdoor)
BK1501,18,122,0.30965391621129323,Robbery (outdoor)
BK1502,15,77,0.3722943722943723,Robbery (outdoor)
BK1503,20,158,0.3879746835443038,Robbery (outdoor)
BK1601,10,245,0.19387755102040816,Robbery (outdoor)
BK1602,14,367,0.2508758271701051,Robbery (outdoor)
BK1701,11,153,0.31491384432560904,Robbery (outdoor)
BK1702,14,93,0.38018433179723504,Robbery (outdoor)
BK1703,16,163,0.29869631901840493,Robbery (outdoor)
BK1704,9,171,0.2742040285899935,Robbery (outdoor)
BK1801,27,198,0.34754956977179197,Robbery (outdoor)
BK1802,19,77,0.3978127136021873,Robbery (outdoor)
BK1803,34,235,0.39311639549436794,Robbery (outdoor)
BX0101,15,805,0.35677018633540375,Robbery (outdoor)
BX0102,8,627,0.2976475279106858,Robbery (outdoor)
BX0201,6,283,0.4540636042402827,Robbery (outdoor)
BX0202,9,457,0.26793095064429856,Robbery (outdoor)
BX0301,7,384,0.15699404761904762,Robbery (outdoor)
BX0302,6,235,0.2078014184397163,Robbery (outdoor)
BX0303,7,427,0.1518902643024423,Robbery (outdoor)
BX0401,14,594,0.38095238095238093,Robbery (outdoor)
BX0402,5,240,0.15,Robbery (outdoor)
BX0403,12,424,0.26572327044025157,Robbery (outdoor)
