BoroCT2020,n_blocks,gini_blocks,n_incidents,crime_type
2019300,18,NA,0,Murder
2019400,82,NA,0,Murder
2019500,25,0.92,2,Murder
2019700,26,0.9615384615384616,1,Murder
2019900,27,0.8395061728395061,6,Murder
2020000,79,NA,0,Murder
2020100,45,0.9333333333333333,3,Murder
2020200,28,0.9642857142857143,1,Murder
2020400,29,0.9655172413793104,1,Murder
2020501,32,0.90625,3,Murder
2020502,12,0.9166666666666666,1,Murder
2020601,35,0.9714285714285714,1,Murder
2020900,22,0.9545454545454546,1,Murder
2021001,15,NA,0,Murder
2021002,19,NA,0,Murder
2021100,27,0.9629629629629629,1,Murder
2021200,14,NA,0,Murder
2021301,22,0.9545454545454546,1,Murder
2021302,21,0.9523809523809523,1,Murder
2021501,17,0.9411764705882353,1,Murder
2021502,24,0.875,3,Murder
2021601,25,0.96,1,Murder
2021602,25,0.96,1,Murder
2021700,32,0.9375,2,Murder
2021800,69,0.9710144927536232,2,Murder
2021900,31,0.967741935483871,1,Murder
2022000,23,NA,0,Murder
2022101,19,0.9473684210526315,1,Murder
2022102,10,NA,0,Murder
2022200,37,NA,0,Murder
2022300,14,0.8571428571428571,2,Murder
2022401,15,NA,0,Murder
2022403,14,0.8571428571428571,2,Murder
2022404,15,NA,0,Murder
2022500,31,0.9032258064516129,3,Murder
2022701,33,0.9242424242424242,4,Murder
2022702,14,0.9285714285714286,1,Murder
2022703,9,NA,0,Murder
2022800,20,0.95,1,Murder
2022901,33,0.8831168831168831,7,Murder
2022902,24,NA,0,Murder
2023000,47,NA,0,Murder
2023100,26,0.9615384615384616,1,Murder
2023200,18,NA,0,Murder
2023301,19,0.9473684210526315,1,Murder
2023302,11,0.9090909090909091,1,Murder
2023501,13,0.8461538461538461,2,Murder
2023502,13,0.8205128205128205,6,Murder
2023600,20,NA,0,Murder
2023702,11,0.8181818181818182,2,Murder
2023703,18,0.8888888888888888,2,Murder
2023704,9,0.8148148148148148,3,Murder
2023800,34,NA,0,Murder
2023900,35,0.8761904761904762,6,Murder
2024000,45,0.9777777777777777,1,Murder
2024100,20,0.9166666666666666,3,Murder
2024300,11,0.9090909090909091,1,Murder
2024400,28,0.9642857142857143,1,Murder
2024501,19,0.8947368421052632,2,Murder
2024502,14,0.9285714285714286,1,Murder
2024600,33,NA,0,Murder
2024700,9,NA,0,Murder
2024800,48,NA,0,Murder
2024900,17,0.9411764705882353,1,Murder
2025000,18,NA,0,Murder
2025100,44,0.9772727272727273,1,Murder
2025200,24,NA,0,Murder
2025300,21,0.9206349206349206,3,Murder
2025400,21,NA,0,Murder
2025500,13,0.8461538461538461,2,Murder
2025600,34,0.9705882352941176,1,Murder
2025700,13,NA,0,Murder
2026100,20,0.9,2,Murder
2026300,19,0.9473684210526315,1,Murder
2026400,93,NA,0,Murder
2026500,25,0.88,3,Murder
2026601,33,NA,0,Murder
2026602,54,NA,0,Murder
2026701,14,0.9285714285714286,1,Murder
2026702,24,0.9583333333333334,1,Murder
2026900,30,0.9666666666666667,1,Murder
2027300,21,0.9047619047619048,2,Murder
2027401,132,NA,0,Murder
2027402,50,0.98,1,Murder
2027700,39,NA,0,Murder
2027900,36,0.9722222222222222,1,Murder
2028100,20,NA,0,Murder
2028300,44,0.9772727272727273,1,Murder
2028500,33,NA,0,Murder
2028600,24,NA,0,Murder
2028700,18,0.9444444444444444,1,Murder
2028800,55,NA,0,Murder
