crime_type,year,total_n,lambda,obs_50x,null_50x,mcc_50x,obs_gini,null_gini,mcc_gini,pct_zero
Outdoor felony assault,2016,8227,0.09213591363168033,1.9789006853917483,4.1950852738361935,-2.2161845884444453,0.9494686033322897,0.9157411468425775,0.033727456489712204,93.41486359360302
Outdoor felony assault,2017,7919,0.08868655646642476,1.8445101464856875,4.052435081803564,-2.2079249353178767,0.9521793199033192,0.9186317119786862,0.03354760792463296,93.72172199077185
Outdoor felony assault,2018,7676,0.08596514805357702,1.8120324329167226,3.939121425078785,-2.1270889921620624,0.9531674212449148,0.9209257412058512,0.03224168003906358,93.88971016440442
Outdoor felony assault,2019,8024,0.0898624736818528,1.8512296734309905,4.10118796536856,-2.2499582919375696,0.951836902945243,0.9176441519387154,0.03419275100652763,93.65564664247637
Outdoor felony assault,2020,9032,0.10115127894996193,1.9016261255207632,4.562806333632871,-2.661180208112107,0.9479895694173954,0.9082754020959648,0.03971416732143063,93.04080992698114
Outdoor felony assault,2021,9743,0.10911391838014604,2.00465887201541,4.88147715698881,-2.8768182849733996,0.9450390134184969,0.9017869188329817,0.043252094585515266,92.58164225238544
Outdoor felony assault,2022,10604,0.11875643954665592,2.127850199345966,5.259771825901641,-3.1319216265556746,0.9419880713653134,0.8940592017394523,0.04792886962586107,92.07207812569995
Outdoor felony assault,2023,10885,0.12190341799937285,2.1771267302781885,5.381442896890308,-3.2043161666121187,0.9410329142410367,0.8915673758920029,0.04946553834903389,91.92312861174574
Outdoor felony assault,2024,11507,0.128869327599337,2.2566411324642743,5.647650551186166,-3.3910094187218918,0.9390382728301256,0.8861037362882199,0.05293453654190572,91.58043273753528
Gun violence,2017,2164,0.024235093849393003,0.5711597903507593,1.1826235105897587,-0.6114637202389994,0.9858592254550751,0.976340582404884,0.009518643050191122,98.21708551717958
Gun violence,2018,2017,0.022588809747793755,0.5454016037270976,1.1041187917815323,-0.5587171880544348,0.9865999962110352,0.9779119893888565,0.00868800682217874,98.325717869462
Gun violence,2019,2324,0.026026967701473815,0.59467813465932,1.2677701764053013,-0.6730920417459814,0.9850187607033428,0.9746360066109665,0.010382754092376323,98.10397348026699
Gun violence,2020,4479,0.050161268646687275,0.9328943242395735,2.384333228899965,-1.4514389046603915,0.9760526826314866,0.9522532911773457,0.023799391454140895,96.74102943152802
Gun violence,2021,5028,0.056309635801639564,1.0896832862966448,2.6598773655319414,-1.5701940792352966,0.9715715275378901,0.9467180239006215,0.02485350363726857,96.20458719706133
Gun violence,2022,4161,0.04659991936567666,0.9597724320207857,2.2230854467610772,-1.2633130147402918,0.9746760472619325,0.9554899803595069,0.019186066902425525,96.71079156027416
Gun violence,2023,3109,0.03481834878824531,1.0348071495766697,1.6809990022286578,-0.6461918526519882,0.9771174748088343,0.9663596326258126,0.01075784218302167,97.22483537158983
Gun violence,2024,2917,0.03266810016574833,0.922815033821619,1.5806211143823472,-0.6578060805607281,0.9792191891260962,0.9683707032131985,0.010848485912897665,97.44433991846974
