precinct,traj_label,n,total_blocks,pct_of_precinct
26,High,43,238,18.067226890756302
26,Very high,37,238,15.546218487394958
26,Chronic-high,13,238,5.46218487394958
28,Crime-free,12,197,6.091370558375635
28,Low-increasing,9,197,4.568527918781726
28,Low-moderate,25,197,12.690355329949238
28,Moderate,32,197,16.243654822335024
28,High,52,197,26.39593908629442
28,Very high,49,197,24.873096446700508
28,Chronic-high,18,197,9.137055837563452
30,Crime-free,31,216,14.351851851851851
30,Low-increasing,8,216,3.7037037037037033
30,Low-moderate,18,216,8.333333333333332
30,Moderate,36,216,16.666666666666664
30,High,57,216,26.38888888888889
30,Very high,53,216,24.537037037037038
30,Chronic-high,13,216,6.018518518518518
32,Crime-free,50,262,19.083969465648856
32,Low-increasing,7,262,2.6717557251908395
32,Low-moderate,15,262,5.7251908396946565
32,Moderate,45,262,17.17557251908397
32,High,45,262,17.17557251908397
32,Very high,82,262,31.297709923664126
32,Chronic-high,18,262,6.870229007633588
33,Crime-free,119,401,29.67581047381546
33,Low-increasing,25,401,6.234413965087282
33,Low-moderate,42,401,10.473815461346634
33,Moderate,60,401,14.962593516209477
33,High,98,401,24.438902743142144
33,Very high,50,401,12.468827930174564
33,Chronic-high,7,401,1.7456359102244388
34,Crime-free,81,497,16.297786720321934
34,Low-increasing,48,497,9.6579476861167
34,Low-moderate,56,497,11.267605633802818
34,Moderate,102,497,20.52313883299799
34,High,118,497,23.74245472837022
34,Very high,79,497,15.895372233400401
34,Chronic-high,13,497,2.61569416498994
40,Crime-free,208,928,22.413793103448278
40,Low-increasing,170,928,18.318965517241377
40,Low-moderate,124,928,13.36206896551724
40,Moderate,147,928,15.84051724137931
40,High,144,928,15.517241379310345
40,Very high,105,928,11.314655172413794
40,Chronic-high,30,928,3.2327586206896552
41,Crime-free,150,627,23.923444976076556
41,Low-increasing,110,627,17.543859649122805
41,Low-moderate,130,627,20.73365231259968
41,Moderate,69,627,11.004784688995215
41,High,97,627,15.47049441786284
41,Very high,57,627,9.090909090909092
41,Chronic-high,14,627,2.2328548644338118
42,Crime-free,91,599,15.191986644407345
42,Low-increasing,73,599,12.186978297161936
42,Low-moderate,71,599,11.853088480801336
42,Moderate,142,599,23.706176961602672
42,High,116,599,19.36560934891486
42,Very high,85,599,14.190317195325541
42,Chronic-high,21,599,3.5058430717863103
43,Crime-free,332,1368,24.269005847953213
43,Low-increasing,265,1368,19.371345029239766
43,Low-moderate,230,1368,16.812865497076025
43,Moderate,216,1368,15.789473684210526
43,High,168,1368,12.280701754385964
43,Very high,126,1368,9.210526315789473
43,Chronic-high,31,1368,2.2660818713450293
44,Crime-free,149,757,19.682959048877148
44,Low-increasing,74,757,9.775429326287979
44,Low-moderate,84,757,11.096433289299867
44,Moderate,134,757,17.701453104359313
44,High,137,757,18.09775429326288
44,Very high,139,757,18.361955085865258
44,Chronic-high,40,757,5.284015852047556
45,Crime-free,712,2179,32.67553923818266
45,Low-increasing,779,2179,35.75034419458467
45,Low-moderate,426,2179,19.55025240936209
45,Moderate,177,2179,8.12299219825608
45,High,48,2179,2.202845341899954
45,Very high,27,2179,1.2391005048187242
45,Chronic-high,10,2179,0.4589261128958238
46,Crime-free,95,592,16.0472972972973
46,Low-increasing,42,592,7.094594594594595
46,Low-moderate,68,592,11.486486486486488
