physical_id,trajectory_group,posterior_prob,label
8463,0,1,Crime-free-stable
8464,0,1,Crime-free-stable
8465,0,1,Crime-free-stable
8483,0,1,Crime-free-stable
8489,0,1,Crime-free-stable
8492,0,1,Crime-free-stable
8503,0,1,Crime-free-stable
8505,0,1,Crime-free-stable
8523,0,1,Crime-free-stable
8525,0,1,Crime-free-stable
8526,0,1,Crime-free-stable
8530,0,1,Crime-free-stable
8531,0,1,Crime-free-stable
8534,0,1,Crime-free-stable
8536,0,1,Crime-free-stable
8541,0,1,Crime-free-stable
8550,0,1,Crime-free-stable
8551,0,1,Crime-free-stable
8566,0,1,Crime-free-stable
8568,0,1,Crime-free-stable
8569,0,1,Crime-free-stable
8571,0,1,Crime-free-stable
8582,0,1,Crime-free-stable
8585,0,1,Crime-free-stable
8586,0,1,Crime-free-stable
8596,0,1,Crime-free-stable
8597,0,1,Crime-free-stable
8601,0,1,Crime-free-stable
8609,0,1,Crime-free-stable
8610,0,1,Crime-free-stable
8612,0,1,Crime-free-stable
8771,0,1,Crime-free-stable
8774,0,1,Crime-free-stable
8791,0,1,Crime-free-stable
8888,0,1,Crime-free-stable
8890,0,1,Crime-free-stable
8891,0,1,Crime-free-stable
8893,0,1,Crime-free-stable
8895,0,1,Crime-free-stable
8896,0,1,Crime-free-stable
8897,0,1,Crime-free-stable
8900,0,1,Crime-free-stable
8913,0,1,Crime-free-stable
8931,0,1,Crime-free-stable
