year,crime_type,total_n,x50,gini_val,pct_zero
2014,Commercial burglary,3625,1.0269677014738163,0.9759429411755619,96.94373516104466
2015,Commercial burglary,3674,1.1244008421807106,0.9745305116148566,96.818303991399
2016,Commercial burglary,3176,0.9900103032746495,0.9777197891817534,97.23155489853514
2017,Commercial burglary,3197,0.9832907763293464,0.9777114356147764,97.22707521390494
2018,Commercial burglary,3335,0.8970568471979573,0.9784601819504171,97.23603458316535
2019,Commercial burglary,2863,0.8992966895130583,0.979787355488511,97.49809613403217
2020,Commercial burglary,6428,1.1949558751063925,0.9677515462090063,95.44976033687227
2021,Commercial burglary,4518,0.9631321954934373,0.9741960646714163,96.50696590959996
2022,Commercial burglary,6138,1.1042422613448013,0.9693787099258528,95.62446803745016
2023,Commercial burglary,4982,0.9138556645612149,0.9737875057369546,96.29642073198048
2024,Commercial burglary,4753,0.8701787394167451,0.9750796666153289,96.46888859024325
2006,Retail theft,16981,0.10303274649464678,0.9916638829229449,96.85974107422838
2007,Retail theft,17894,0.09407337723424271,0.9922578925351445,96.96725350535323
2008,Retail theft,19670,0.08735385028893966,0.9925372929190625,96.93029610715406
2009,Retail theft,21717,0.08399408681628813,0.9928321461880277,96.91125744747569
2010,Retail theft,22971,0.07839448102853559,0.9927254838903327,96.79254580477534
2011,Retail theft,23261,0.07727455987098508,0.992778063645505,96.77238722393943
2012,Retail theft,23139,0.1052725888097478,0.9916168908926064,96.54280338664158
2013,Retail theft,24724,0.11311203691260135,0.9909056902960283,96.32553868207678
2014,Retail theft,28035,0.1310307754334095,0.9904252948832103,96.08363571204586
2015,Retail theft,29119,0.13775030237871255,0.9900848025115131,95.9402858038794
2016,Retail theft,29119,0.17694754289298034,0.9887862362568937,95.69502307037585
2017,Retail theft,32231,0.1993459660439905,0.9882325529171208,95.3948842001523
2018,Retail theft,35299,0.19150651794113693,0.9892215426669618,95.57295166420285
2019,Retail theft,37907,0.19486628141378848,0.9891095917566268,95.42064238677597
2020,Retail theft,32326,0.1971061237288895,0.9894276768164547,95.74205975899297
2021,Retail theft,43988,0.12767101196075797,0.9922403064351959,95.89436903641983
2022,Retail theft,63973,0.12207140617300542,0.9922955539259941,95.23361555346503
2023,Retail theft,59115,0.12431124848810644,0.9922213523533249,95.29409129597276
2024,Retail theft,61213,0.11535187922770238,0.9925543381160796,95.31424987680867
2006,Vehicle accessory theft,6667,2.0012991085427587,0.9545126476373399,94.26600367334139
2007,Vehicle accessory theft,4675,1.565649778255611,0.9658297825244867,95.81709447654885
