crime_type,month,n_incidents,lambda,observed_50x,null_50x,marginal_50x,observed_gini,null_gini,marginal_gini
Pickpocket (non-transit),2023-04-01,202,0.0022622407382520272,6.159566366527796e-4,0.0011285634310470435,-5.126067943942639e-4,0.9986127392473154,0.9977428673622106,8.698718851047893e-4
Pickpocket (non-transit),2023-05-01,169,0.0018926667562603593,7.055503292568204e-4,9.445434138517696e-4,-2.3899308459494927e-4,0.9985498677697824,0.9981109097898286,4.3895797995374686e-4
Pickpocket (non-transit),2023-06-01,267,0.0029901894906598577,5.599605787752543e-4,0.0014906285814027447,-9.306680026274904e-4,0.9985631872939366,0.9970187295091009,0.0015444577848356955
Pickpocket (non-transit),2023-07-01,240,0.0026878107781212203,9.631321954934373e-4,0.001340296459768229,-3.7716426427479176e-4,0.9979889949080918,0.9973193973977028,6.695975103889751e-4
Pickpocket (non-transit),2023-08-01,220,0.0024638265466111185,9.855306186444474e-4,0.0012288805438973795,-2.4334992525293212e-4,0.9979905560103114,0.9975422314523444,4.4832455796695037e-4
Pickpocket (non-transit),2023-09-01,271,0.003034986336961878,6.383550598037898e-4,0.0015128922531968167,-8.745371933930268e-4,0.9984513267387747,0.9969742015581023,0.001477125180672334
Pickpocket (non-transit),2023-10-01,256,0.0028669981633293014,8.623392913138915e-4,0.0014293931672507132,-5.670538759368218e-4,0.9981138077879317,0.9971412019163175,9.72605871614185e-4
Pickpocket (non-transit),2023-11-01,261,0.002922994221206827,8.959369260404067e-4,0.0014572293222477216,-5.612923962073148e-4,0.9980700883562011,0.9970855289050581,9.845594511430633e-4
Pickpocket (non-transit),2023-12-01,415,0.00464767280383461,5.487613671997492e-4,0.0023130526835382485,-0.0017642913163384993,0.9981960094105761,0.9953738446686666,0.0028221647419094387
Pickpocket (non-transit),2024-01-01,312,0.0034941540115575862,9.855306186444474e-4,0.0017409795535303827,-7.554489348859353e-4,0.99780531348029,0.9965180196370467,0.0012872938432433312
Pickpocket (non-transit),2024-02-01,188,0.002105451776194956,7.95144021860861e-4,0.0010505109792404977,-2.5536695737963665e-4,0.9983538350389495,0.9978989733863082,4.5486165264130296e-4
Pickpocket (non-transit),2024-03-01,268,0.0030013887022353625,0.0010415266765219729,0.0014961946869195566,-4.546680103975837e-4,0.9978031158546736,0.997007597147903,7.955187067706371e-4
Pickpocket (non-transit),2024-04-01,222,0.0024862249697621287,9.183353491914169e-4,0.0012400243873461451,-3.216890381547282e-4,0.9981036001732144,0.9975199435603126,5.836566129018284e-4
Pickpocket (non-transit),2024-05-01,249,0.002788603682300766,9.407337723424271e-4,0.0013904172975583726,-4.496835252159455e-4,0.9980202582493213,0.9972191545925413,8.01103656779989e-4
Pickpocket (non-transit),2024-06-01,238,0.00266541235497021,6.047574250772745e-4,0.0013291571199083268,-7.243996948310523e-4,0.998532338617479,0.9973416763172687,0.0011906623002103656
Pickpocket (non-transit),2024-07-01,198,0.002217443891950007,8.623392913138915e-4,0.001106265233477571,-2.4392594216367952e-4,0.9982270177472435,0.997787464093467,4.3955365377656985e-4
Pickpocket (non-transit),2024-08-01,219,0.0024526273350356136,8.735385028893966e-4,0.0012233084345031455,-3.497699316137489e-4,0.9981813809988143,0.9975533757723142,6.280052265000835e-4
Pickpocket (non-transit),2024-09-01,213,0.002385432065582583,9.183353491914169e-4,0.0011898731506715433,-2.715378014801264e-4,0.9981199520736839,0.9976202469279268,4.997051457570345e-4
Pickpocket (non-transit),2024-10-01,279,0.0031245800295659184,0.001063925099672983,0.0015574135948460107,-4.934884951730276e-4,0.9977676639664926,0.9968851576052338,8.825063612588613e-4
Pickpocket (non-transit),2024-11-01,241,0.0026990099896967252,9.29534560766922e-4,0.0013458659420689581,-4.163313813020361e-4,0.9980477590145289,0.9973082583116718,7.395007028571099e-4
Pickpocket (non-transit),2024-12-01,277,0.0031021816064149086,6.047574250772745e-4,0.0015462840096480744,-9.415265845707999e-4,0.9984543066507469,0.996907417099949,0.0015468895507978475
Pickpocket (non-transit),2025-01-01,191,0.002139049410921471,8.175424450118712e-4,0.001067238569612589,-2.4969612460071775e-4,0.9983270957829281,0.9978655179793243,4.615778036037854e-4
Pickpocket (non-transit),2025-02-01,189,0.0021166509877704608,7.727455987098508e-4,0.0010560869678545395,-2.8334136914468866e-4,0.9984040827229467,0.9978878213344606,5.16261388486039e-4
Pickpocket (non-transit),2025-03-01,211,0.002363033642431573,8.175424450118712e-4,0.0011787270550878762,-3.61184610076005e-4,0.9982956498440709,0.9976425393078864,6.531105361845535e-4
Pickpocket (non-transit),2025-04-01,171,0.0019150651794113695,7.839448102853559e-4,9.557000224002673e-4,-1.7175521211491135e-4,0.9984160647254176,0.9980885964513089,3.274682741086776e-4
Pickpocket (non-transit),2025-05-01,207,0.0023182367961295525,8.511400797383864e-4,0.0011564333623935799,-3.052932826551935e-4,0.9982451863408139,0.9976871270602735,5.580592805404239e-4
Pickpocket (non-transit),2025-06-01,193,0.002161447834072481,7.727455987098508e-4,0.00107838967075327,-3.0564407204341907e-4,0.998404083336989,0.9978432156222192,5.608677147698193e-4
Pickpocket (non-transit),2025-07-01,190,0.002127850199345966,8.063432334363661e-4,0.0010616628313114362,-2.5531959787507014e-4,0.9983421630275123,0.9978766695321352,4.654934953771672e-4
Pickpocket (non-transit),2025-08-01,170,0.0019038659678358644,6.607534829548e-4,9.501217807179084e-4,-2.8936829776310836e-4,0.998614196384104,0.9980997529957415,5.144433883624844e-4
Pickpocket (non-transit),2025-09-01,195,0.0021838462572234913,8.623392913138915e-4,0.0010895402712877958,-2.2720097997390432e-4,0.9982440210568151,0.9978209142630897,4.2310679372536963e-4
Pickpocket (non-transit),2025-10-01,209,0.0023406352192805627,7.503471755588406e-4,0.0011675804589989585,-4.172332834401179e-4,0.9984008704734555,0.9976648326853166,7.360377881389102e-4
Pickpocket (non-transit),2025-11-01,215,0.0024078304887335932,7.167495408323254e-4,0.0012010187457611706,-4.842692049288452e-4,0.9984385173702376,0.997597955545382,8.405618248555902e-4
Pickpocket (non-transit),2025-12-01,201,0.002251041526676522,6.607534829548e-4,0.0011229890693665665,-4.6223558641176655e-4,0.998559981974284,0.9977540161708613,8.059658034226258e-4
